player_id,player_name,position,nation_id,born
1,Aaron Ciammaglichella,MF,63,2005
2,Aaron Connolly,FW,58,2000
3,Aaron Cresswell,DF,37,1989
4,Aarón Escandell,GK,38,1995
5,Aaron Hickey,DF,106,2002
6,Aaron Lennon,"MF,FW",37,1987
7,Aaron Leya Iseka,FW,9,1997
8,Aaron Malouda,FW,41,2005
9,Aarón Martín,DF,38,1997
10,Aaron Ramsdale,GK,37,1998
11,Aaron Ramsey,MF,124,1990
12,Aaron Seydel,FW,30,1996
13,Aaron Wan-Bissaka,DF,16,1997
14,Aaron Zehnter,DF,30,2004
15,Abakar Sylla,DF,20,2002
16,Abass Issah,"DF,FW",46,1998
17,Abdallah Sima,FW,111,2001
18,Abdallahi Mahmoud,MF,82,2000
19,Abde Ezzalzouli,FW,75,2001
20,Abde Rebbach,"FW,MF",33,1998
21,Abdel Abqar,DF,75,1999
22,Abdel Jalil Medioub,DF,33,1997
23,Abdelhamid Sabiri,"MF,FW",75,1996
24,Abdellah Baallal,MF,75,2004
25,Abdellah Raihani,FW,75,2004
26,Abdón Prats,FW,38,1992
27,Abdou Diallo,DF,111,1996
28,Abdou Harroui,MF,91,1998
29,Abdoul Kader Bamba,"FW,MF",41,1994
30,Abdoul Koné,DF,41,2005
31,Abdoul Ouattara,"DF,FW",41,2005
32,Abdoulay Diaby,DF,80,1991
33,Abdoulaye Bakayoko,DF,41,2002
34,Abdoulaye Bamba,DF,20,1990
35,Abdoulaye Doucouré,MF,80,1993
36,Abdoulaye Keita,"FW,MF",38,2002
37,Abdoulaye Niakhate Ndiaye,DF,111,2002
38,Abdoulaye Sidibé,MF,41,2002
39,Abdoulaye Sylla,DF,48,2000
40,Abdoulaye Touré,MF,48,1994
41,Abdoulie Ceesay,FW,47,2004
42,Abdourahmane Barry,DF,48,2000
43,Abdu Conté,DF,100,1998
44,Abdukodir Khusanov,DF,122,2004
45,Abdul Fatawu Issahaku,FW,46,2004
46,Abdul Majeed Waris,"FW,MF",46,1991
47,Abdul Mumin,DF,46,1998
48,Abdulai Juma Bah,DF,110,2006
49,Abel Bretones,DF,38,2000
50,Abel Ruiz,FW,38,2000
51,Ablie Jallow,"MF,FW",47,1998
52,Abner,DF,14,2000
53,Abou Lô,"MF,DF",111,2000
54,Aboubacar Ali,"MF,FW",68,2006
55,Aboubacar Bassinga,MF,20,2005
56,Aboubakar Kamara,"FW,MF",82,1995
57,Aboubakar Sidibé,DF,41,1996
58,Achraf Dari,DF,75,1999
59,Achraf Hakimi,DF,75,1998
60,Adam Armstrong,FW,37,1997
61,Adam Aznou,DF,75,2006
62,Adam Buksa,"FW,MF",97,1996
63,Adam Dźwigała,"DF,MF",97,1995
64,Adam Forshaw,MF,37,1991
65,Adam Hložek,"FW,MF",29,2002
66,Adam Idah,"FW,MF",58,2001
67,Adam Lallana,"MF,FW",37,1988
68,Adam Marušić,DF,77,1992
69,Adam Masina,DF,75,1994
70,Adam Obert,"DF,MF",109,2002
71,Adam Ounas,"FW,MF",33,1996
72,Adam Smith,DF,37,1991
73,Ádám Szalai,FW,56,1987
74,Adam Webster,DF,37,1995
75,Adam Wharton,MF,37,2004
76,Adama Boiro,"DF,FW",38,2002
77,Adama Bojang,FW,47,2004
78,Adama Soumaoro,DF,41,1992
79,Adama Traoré,"FW,MF",38,1996
80,Adel Mahamoud,FW,68,2003
81,Ademola Lookman,"FW,MF",89,1997
82,Adil Aouchiche,"MF,FW",41,2002
83,Adil Rami,DF,41,1985
84,Admir Mehmedi,"MF,FW",19,1991
85,Adnan Januzaj,"FW,MF",9,1995
86,Ado Onaiwu,FW,66,1995
87,Adolfo Gaich,FW,4,1999
88,Adri Bosch,DF,38,2001
89,Adri Embarba,"FW,MF",38,1992
90,Adrià Altimira,"DF,MF",38,2001
91,Adrià Pedrosa,DF,38,1998
92,Adrián,GK,38,1987
93,Adrian Baquerin,FW,38,2007
94,Adrian Beck,"MF,FW",30,1997
95,Adrian Benedyczak,"FW,MF",97,2000
96,Adrian Bernabe,MF,38,2001
97,Adrián Butzke,FW,38,1999
98,Adrian Fein,MF,30,1999
99,Adrian Grbić,FW,5,1996
100,Adrián López,"FW,MF",38,1988
101,Adrián Marín,"DF,MF",38,1997
102,Adrian Niño,FW,38,2004
103,Adrian Rodriguez,GK,38,2000
104,Adrian Šemper,GK,54,1998
105,Adrien Hunou,"FW,MF",41,1994
106,Adrien Lebeau,"MF,FW",41,1999
107,Adrien Louveau,MF,41,2000
108,Adrien Rabiot,MF,41,1995
109,Adrien Silva,MF,100,1989
110,Adrien Tameze,MF,22,1994
111,Adrien Thomasson,"MF,FW",41,1993
112,Adrien Truffert,"DF,MF",41,2001
113,Adryelson,"DF,FW",14,1998
114,Adson,"MF,FW",14,2000
115,Adu Ares,"FW,MF",38,2001
116,Afimico Pululu,"FW,MF",16,1999
117,Agustín Álvarez,"FW,MF",121,2001
118,Agustín Marchesín,GK,4,1988
119,Agustín Martegani,MF,4,2000
120,Agustín Rogel,DF,121,1997
121,Ahmad Benali,MF,74,1992
122,Ahmad Ngouyamsa,DF,114,2000
123,Ahmed Elmohamady,DF,36,1987
124,Ahmed Hegazi,DF,36,1991
125,Ahmed Kutucu,"FW,MF",117,2000
126,Ahmed Touba,DF,33,1998
127,Aiham Ousou,DF,113,2000
128,Aihen Muñoz,DF,38,1997
129,Aïman Maurer,MF,75,2004
130,Aimar Oroz,"MF,FW",38,2001
131,Aimar Sher,MF,60,2002
132,Aimen Moueffek,"DF,MF",41,2001
133,Aingeru Olabarrieta,FW,38,2005
134,Ainsley Maitland-Niles,"MF,DF",37,1997
135,Aïssa Laïdouni,MF,116,1996
136,Aïssa Mandi,DF,33,1991
137,Aitor Fernández,GK,38,1991
138,Aitor Paredes,DF,38,2000
139,Aitor Ruibal,"FW,MF",38,1996
140,Ajdin Hrustic,"MF,DF",6,1996
141,Akaki Gogia,"FW,MF",30,1992
142,Akim Zedadka,DF,33,1995
143,Akor Adams,FW,89,2000
144,Alaa Bellaarouch,GK,75,2002
145,Alan Do Marcolino,FW,42,2002
146,Alan Empereur,DF,14,1994
147,Alan Matturro,DF,121,2004
148,Alan Virginius,FW,41,2003
149,Alassane Pléa,FW,41,1993
150,Alassane Sidibe,MF,20,2002
151,Alban Lafont,GK,20,1999
152,Albert Grønbaek,"FW,MF",31,2001
153,Albert Guðmundsson,"FW,MF",62,1997
154,Albert Sambi Lokonga,MF,9,1999
155,Alberth Elis,"FW,MF",53,1996
156,Alberto Basso,MF,63,2004
157,Alberto Cerri,FW,63,1996
158,Alberto Cifuentes,GK,38,1979
159,Alberto costa,DF,100,2003
160,Alberto Dadie,MF,38,2002
161,Alberto Del Moral,MF,38,2000
162,Alberto Dossena,DF,63,1998
163,Alberto Grassi,"MF,DF",63,1995
164,Alberto Manzoni,MF,63,2005
165,Alberto Marí,"FW,MF",38,2001
166,Alberto Moleiro,"FW,MF",38,2003
167,Alberto Moreno,DF,38,1992
168,Alberto Paleari,GK,63,1992
169,Alberto Perea,MF,38,1990
170,Alberto Risco,MF,38,2005
171,Alberto Soro,"FW,MF",38,1999
