player_Misc_stats_id,player_id,team_id,league_id,season_id,player_Misc_perform_2CrdY,player_Misc_perform_CrdR,player_Misc_perform_CrdY,player_Misc_perform_Crs,player_Misc_perform_Fld,player_Misc_perform_Int,player_Misc_perform_Fls,player_Misc_perform_Off,player_Misc_perform_OG,player_Misc_perform_PKcon,player_Misc_perform_PKwon,player_Misc_perform_Recov,player_Misc_perform_TklW,player_Misc_aeriald_won%_new,player_Misc_aeriald_Won,player_Misc_aeriald_Lost
1,2204,L1_STR_20,L1_1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN,0,0
2,4305,PL_CRY_7,PL_1,1,0,0,2,40,3,30,11,3,0,0,0,136,22,0.46,11,13
3,2,PL_BRI_5,PL_1,1,0,0,0,2,16,0,6,8,0,0,1,12,3,0.18,7,31
4,2,PL_BRI_5,PL_1,1,0,0,0,2,16,0,6,8,0,0,1,12,3,0.18,7,31
5,2,PL_BRI_5,PL_1,2,0,0,0,0,6,0,0,0,0,0,0,7,0,0.29,2,5
6,2,PL_BRI_5,PL_1,2,0,0,0,0,6,0,0,0,0,0,0,7,0,0.29,2,5
7,1204,BL_FRA_5,BL_1,1,1,1,5,13,6,17,9,1,0,0,0,76,12,0.63,31,18
8,4472,BL_FRA_5,BL_1,1,0,0,1,1,1,1,5,1,0,0,0,3,0,0.56,9,7
9,4472,BL_FRA_5,BL_1,1,0,0,1,1,1,1,5,1,0,0,0,3,0,0.56,9,7
10,4472,BL_FRA_5,BL_1,2,0,0,0,6,8,0,5,6,0,0,0,7,0,0.64,18,10
11,4472,BL_FRA_5,BL_1,2,0,0,0,6,8,0,5,6,0,0,0,7,0,0.64,18,10
12,367,BL_FRE_6,BL_1,1,0,0,0,0,0,2,4,0,0,0,0,6,1,0.33,1,2
13,5565,L1_REI_17,L1_1,1,0,1,4,0,22,61,37,0,0,1,0,200,37,0.63,92,53
14,5565,L1_REI_17,L1_1,2,0,1,5,4,25,68,39,0,0,1,0,195,27,0.62,62,38
15,5565,L1_REI_17,L1_1,3,0,0,6,5,28,64,49,2,0,0,0,263,50,0.65,93,51
16,4817,BL_HOF_9,BL_1,1,0,0,2,10,8,6,5,3,0,0,0,20,4,0.5,11,11
17,4817,BL_HOF_9,BL_1,2,0,0,0,5,8,1,5,4,0,0,0,24,6,0.18,3,14
18,4726,LL_GET_10,LL_1,1,0,0,1,1,1,0,2,0,0,0,0,1,0,0.25,1,3
19,4817,BL_KÖL_11,BL_1,3,0,0,3,13,6,4,17,4,0,0,0,40,7,0.32,12,25
20,3,PL_WES_19,PL_1,1,0,0,3,207,18,32,13,0,0,0,0,195,13,0.55,35,29
21,3,PL_WES_19,PL_1,1,0,0,3,207,18,32,13,0,0,0,0,195,13,0.55,35,29
22,3,PL_WES_19,PL_1,2,0,0,3,145,10,35,14,2,0,1,0,163,18,0.57,32,24
23,3,PL_WES_19,PL_1,2,0,0,3,145,10,35,14,2,0,1,0,163,18,0.57,32,24
24,3,PL_WES_19,PL_1,3,0,0,3,133,9,27,9,2,0,0,0,120,11,0.51,28,27
25,3,PL_WES_19,PL_1,3,0,0,3,133,9,27,9,2,0,0,0,120,11,0.51,28,27
26,3987,PL_WES_19,PL_1,3,0,0,4,0,8,18,8,2,0,1,0,105,18,0.51,32,31
27,9,BL_MAI_13,BL_1,1,0,0,0,21,0,2,4,0,0,0,0,10,2,0.5,1,1
28,9,BL_MAI_13,BL_1,1,0,0,0,21,0,2,4,0,0,0,0,10,2,0.5,1,1
29,9,BL_MAI_13,BL_1,2,0,0,7,180,18,20,31,0,0,0,0,161,33,0.44,12,15
30,9,BL_MAI_13,BL_1,2,0,0,7,180,18,20,31,0,0,0,0,161,33,0.44,12,15
31,9,BL_MAI_13,BL_1,3,0,0,3,145,12,15,28,2,0,0,0,104,27,0.07,1,13
32,9,BL_MAI_13,BL_1,3,0,0,3,145,12,15,28,2,0,0,0,104,27,0.07,1,13
33,16,BL_MAI_13,BL_1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,NaN,0,0
34,5273,BL_LEI_14,BL_1,1,0,0,3,19,29,29,29,2,0,0,0,169,24,0.62,21,13
35,5273,BL_LEI_14,BL_1,1,0,0,3,19,29,29,29,2,0,0,0,169,24,0.62,21,13
36,5273,BL_LEI_14,BL_1,2,0,0,5,2,15,16,19,0,0,0,0,85,7,0.67,20,10
37,5273,BL_LEI_14,BL_1,2,0,0,5,2,15,16,19,0,0,0,0,85,7,0.67,20,10
38,3744,L1_NAN_13,L1_1,1,0,0,5,40,22,20,31,1,0,0,0,108,19,0.42,13,18
39,1666,BL_BRE_18,BL_1,1,0,0,0,12,26,12,5,1,0,0,0,45,9,0.54,13,11
40,1666,BL_BRE_18,BL_1,1,0,0,0,12,26,12,5,1,0,0,0,45,9,0.54,13,11
41,1666,BL_BRE_18,BL_1,1,0,0,0,12,26,12,5,1,0,0,0,45,9,0.54,13,11
42,1666,BL_BRE_18,BL_1,3,0,0,0,1,3,0,3,0,0,1,0,3,0,0.5,1,1
43,1666,BL_BRE_18,BL_1,3,0,0,0,1,3,0,3,0,0,1,0,3,0,0.5,1,1
