player_passing_stats_id,player_id,team_id,league_id,season_id,player_total_passes_Cmp,player_total_passes_Att,player_total_passes_Cmp%_new,player_total_passes_PrgDist,player_total_passes_TotDist,player_short_passes_Cmp,player_short_passes_Att,player_short_passes_Cmp%_new,player_medium_passes_Cmp,player_medium_passes_Att,player_medium_passes_Cmp%_new,player_long_passes_Cmp,player_long_passes_Att,player_long_passes_Cmp%_new,player_passes_CrsPA,player_passes_into_finalthird,player_passes_KP,player_passes_PPA,player_passes_PrgP
1,2,PL_BRI_5,PL_1,1,72,94,0.7659574468085106,176,844,51,65,0.78,14,16,0.88,0,1,0,0,3,6,1,4
2,2,PL_BRI_5,PL_1,1,72,94,0.7659574468085106,176,844,51,65,0.78,14,16,0.88,0,1,0,0,3,6,1,4
3,67,PL_BRI_5,PL_1,1,792,944,0.8389830508474576,2987,11000,450,511,0.88,240,281,0.85,35,55,0.64,2,61,25,26,109
4,67,PL_BRI_5,PL_1,1,792,944,0.8389830508474576,2987,11000,450,511,0.88,240,281,0.85,35,55,0.64,2,61,25,26,109
5,74,PL_BRI_5,PL_1,1,1508,1866,0.8081457663451233,10639,28793,528,620,0.85,805,912,0.88,153,277,0.55,0,125,5,7,133
6,3,PL_WES_19,PL_1,1,1586,2141,0.7407753386268099,13845,28632,754,847,0.89,606,755,0.8,198,429,0.46,18,174,58,26,162
7,3,PL_WES_19,PL_1,1,1586,2141,0.7407753386268099,13845,28632,754,847,0.89,606,755,0.8,198,429,0.46,18,174,58,26,162
8,1663,PL_WES_19,PL_1,1,3,5,0.6,23,45,1,2,0.5,2,3,0.67,0,0,NaN,0,0,0,0,1
9,1663,PL_WES_19,PL_1,1,3,5,0.6,23,45,1,2,0.5,2,3,0.67,0,0,NaN,0,0,0,0,1
10,1206,BL_BAY_3,BL_1,1,1929,2290,0.8423580786026201,12318,35563,736,817,0.9,1003,1125,0.89,172,283,0.61,4,212,28,35,242
11,1206,BL_BAY_3,BL_1,1,1929,2290,0.8423580786026201,12318,35563,736,817,0.9,1003,1125,0.89,172,283,0.61,4,212,28,35,242
12,4,LL_GRA_11,LL_1,1,78,159,0.49056603773584906,2637,3096,7,7,1,28,29,0.97,43,122,0.35,0,11,0,0,0
13,461,LL_GRA_11,LL_1,1,14,31,0.45161290322580644,593,627,0,0,NaN,5,6,0.83,9,25,0.36,0,0,0,0,0
14,101,LL_GRA_11,LL_1,1,85,130,0.6538461538461539,896,1490,36,46,0.78,39,55,0.71,7,19,0.37,1,10,1,1,17
15,1204,BL_FRA_5,BL_1,1,558,678,0.8230088495575221,3990,10633,214,239,0.9,280,325,0.86,60,95,0.63,1,50,2,3,55
16,925,L1_SAI_19,L1_1,1,128,202,0.6336633663366337,317,1703,81,111,0.73,27,44,0.61,9,17,0.53,0,11,6,6,21
17,925,L1_SAI_19,L1_1,1,128,202,0.6336633663366337,317,1703,81,111,0.73,27,44,0.61,9,17,0.53,0,11,6,6,21
18,38,L1_SAI_19,L1_1,1,0,1,0,0,0,0,0,NaN,0,0,NaN,0,1,0,0,0,0,0,0
19,82,L1_SAI_19,L1_1,1,571,818,0.6980440097799511,3336,10069,307,364,0.84,152,213,0.71,85,181,0.47,7,57,59,25,87
20,82,L1_SAI_19,L1_1,1,571,818,0.6980440097799511,3336,10069,307,364,0.84,152,213,0.71,85,181,0.47,7,57,59,25,87
21,367,BL_FRE_6,BL_1,1,18,23,0.782608695652174,20,258,11,14,0.79,4,5,0.8,2,2,1,0,1,0,0,0
22,5,SA_BOL_3,SA_1,1,337,397,0.8488664987405542,1742,5489,160,174,0.92,142,165,0.86,21,34,0.62,1,30,2,3,36
23,78,SA_BOL_3,SA_1,1,822,925,0.8886486486486487,4983,14538,337,374,0.9,415,448,0.93,61,77,0.79,0,21,3,0,51
24,7,L1_MET_10,L1_1,1,141,192,0.734375,277,1753,89,106,0.84,29,46,0.63,6,9,0.67,0,12,12,1,12
25,9,LL_CEL_7,LL_1,1,675,866,0.7794457274826789,3019,10129,373,407,0.92,245,319,0.77,35,93,0.38,3,29,6,7,42
26,9,LL_CEL_7,LL_1,1,675,866,0.7794457274826789,3019,10129,373,407,0.92,245,319,0.77,35,93,0.38,3,29,6,7,42
27,289,LL_CEL_7,LL_1,1,16,16,1,31,172,12,12,1,3,3,1,0,0,NaN,0,0,1,1,1
28,289,LL_CEL_7,LL_1,1,16,16,1,31,172,12,12,1,3,3,1,0,0,NaN,0,0,1,1,1
29,926,BL_LEV_12,BL_1,1,998,1168,0.8544520547945206,5528,16391,476,526,0.9,416,461,0.9,71,115,0.62,0,113,15,13,119
30,9,BL_MAI_13,BL_1,1,120,173,0.6936416184971098,856,2057,61,73,0.84,46,70,0.66,12,25,0.48,3,6,3,3,9
31,9,BL_MAI_13,BL_1,1,120,173,0.6936416184971098,856,2057,61,73,0.84,46,70,0.66,12,25,0.48,3,6,3,3,9
32,16,BL_MAI_13,BL_1,1,12,15,0.8,44,178,7,9,0.78,5,5,1,0,1,0,0,0,0,0,1
33,73,BL_MAI_13,BL_1,1,113,208,0.5432692307692307,448,1496,65,111,0.59,28,44,0.64,8,15,0.53,0,14,6,3,20
