player_shooting_stats_id,player_id,team_id,league_id,season_id,player_shooting_FK,player_shooting_G/Sh_new,player_shooting_Gls,player_shooting_G/SoT_new,player_shooting_PK,player_shooting_Sh,player_shooting_Sh/90_new,player_shooting_SoT,player_shooting_SoT/90_new,player_shooting_SoT%
1,2,PL_BRI_5,PL_1,1,0,0.09,2,0.25,0,23,2.62,8,0.91,0.35
1,2,PL_BRI_5,PL_1,1,0,0.09,2,0.25,0,23,13.29,8,4.62,0.35
2,2,PL_BRI_5,PL_1,1,0,0.09,2,0.25,0,23,2.62,8,0.91,0.35
2,2,PL_BRI_5,PL_1,1,0,0.09,2,0.25,0,23,13.29,8,4.62,0.35
3,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,1.24,5,0.28,0.23
3,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,1.27,5,0.29,0.23
3,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,2.33,5,0.53,0.23
3,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,2.74,5,0.62,0.23
3,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,5.49,5,1.25,0.23
4,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,1.24,5,0.28,0.23
4,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,1.27,5,0.29,0.23
4,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,2.33,5,0.53,0.23
4,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,2.74,5,0.62,0.23
4,67,PL_BRI_5,PL_1,1,0,0.05,1,0.2,0,22,5.49,5,1.25,0.23
5,74,PL_BRI_5,PL_1,1,0,0.04,1,0.14285714285714285,0,25,0.87,7,0.24,0.28
5,74,PL_BRI_5,PL_1,1,0,0.04,1,0.14285714285714285,0,25,1.13,7,0.32,0.28
5,74,PL_BRI_5,PL_1,1,0,0.04,1,0.14285714285714285,0,25,1.57,7,0.44,0.28
5,74,PL_BRI_5,PL_1,1,0,0.04,1,0.14285714285714285,0,25,1.97,7,0.55,0.28
5,74,PL_BRI_5,PL_1,1,0,0.04,1,0.14285714285714285,0,25,2.54,7,0.71,0.28
6,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,0.63,4,0.13,0.21
6,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,0.77,4,0.16,0.21
6,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,2.07,4,0.44,0.21
6,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,3.93,4,0.83,0.21
6,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,5.4,4,1.14,0.21
7,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,0.63,4,0.13,0.21
7,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,0.77,4,0.16,0.21
7,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,2.07,4,0.44,0.21
7,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,3.93,4,0.83,0.21
7,3,PL_WES_19,PL_1,1,11,0,0,0,0,19,5.4,4,1.14,0.21
8,1663,PL_WES_19,PL_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
9,1663,PL_WES_19,PL_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
10,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,0.71,6,0.2,0.29
10,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,0.72,6,0.2,0.29
10,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,1.03,6,0.29,0.29
10,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,1.64,6,0.47,0.29
10,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,5.97,6,1.7,0.29
11,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,0.71,6,0.2,0.29
11,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,0.72,6,0.2,0.29
11,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,1.03,6,0.29,0.29
11,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,1.64,6,0.47,0.29
11,1206,BL_BAY_3,BL_1,1,3,0.1,2,0.3333333333333333,0,21,5.97,6,1.7,0.29
12,4,LL_GRA_11,LL_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
13,461,LL_GRA_11,LL_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
14,101,LL_GRA_11,LL_1,1,0,0,0,NaN,0,1,0.33,0,0,0
14,101,LL_GRA_11,LL_1,1,0,0,0,NaN,0,1,0.97,0,0,0
15,1204,BL_FRA_5,BL_1,1,0,0.1,1,0.5,0,10,0.74,2,0.15,0.2
