player_standard_stats_id,player_id,team_id,league_id,season_id,nation_id,player_playtime_90s_new,player_playtime_Min,player_playtime_MP,player_playtime_Starts,player_perform_Gls,Sum of player_perform_Ast,player_perform_G+A,player_perform_CrdY,player_perform_CrdR,player_perform_PK,player_perfrom_PKatt,player_per90min_Gls,player_per90min_Ast,player_per90min_G-PK,player_per90min_G+A,player_per90min_G+A-PK,player_progression_PrgC,player_progression_PrgP,player__perform_G-PK
1,2204,L1_STR_20,L1_1,1,41,0.12,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4305,PL_CRY_7,PL_1,1,91,19.74,1777,22,20,0,1,1,2,0,0,0,0,0.05,0,0.05,0.05,38,103,0
3,5565,L1_REI_17,L1_1,1,75,32.1,2889,33,33,3,0,3,4,1,0,0,0.09,0,0.09,0.09,0.09,18,99,3
4,4726,LL_GET_10,LL_1,1,46,0.67,60,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,3744,L1_NAN_13,L1_1,1,33,1.47,132,18,15,0,0,0,5,0,0,0,0,0,0,0,0,32,65,0
6,3056,L1_LOR_7,L1_1,1,41,32.92,2963,38,32,3,1,4,5,0,0,0,0.09,0.03,0.09,0.12,0.12,32,138,3
7,925,L1_SAI_19,L1_1,1,41,10.13,912,24,9,3,4,5,1,0,0,0,0.3,0.2,0.3,0.49,0.49,13,21,3
8,3677,L1_REN_18,L1_1,1,41,0.02,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4274,L1_SAI_19,L1_1,1,111,1.4,126,14,14,0,0,0,1,0,0,0,0,0,0,0,0,2,31,0
10,1204,BL_FRA_5,BL_1,1,4,13.58,1222,14,14,1,0,1,5,1,0,0,0.07,0,0.07,0.07,0.07,12,55,1
11,5081,PL_CHE_6,PL_1,1,37,1.16,104,22,12,6,1,7,0,0,0,0,5.17,0.86,5.17,6.03,6.03,12,11,6
12,367,BL_FRE_6,BL_1,1,1,0.67,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1865,SA_SPZ_18,SA_1,1,63,4.9,441,14,2,0,0,0,2,0,0,0,0,0,0,0,0,15,28,0
14,1765,SA_LAZ_11,SA_1,1,63,31.26,2813,32,32,0,1,1,9,1,0,0,0,0.03,0,0.03,0.03,41,141,0
15,4472,BL_FRA_5,BL_1,1,30,1.11,100,7,0,1,0,1,1,0,0,0,0.9,0,0.9,0.9,0.9,3,3,1
16,3465,LL_SEV_17,LL_1,1,4,2.59,233,30,26,1,2,3,5,0,0,0,0.39,0.77,0.39,1.16,1.16,65,114,1
17,937,PL_SOU_17,PL_1,1,106,29.63,2667,36,30,9,5,14,1,0,0,0,0.3,0.17,0.3,0.47,0.47,32,57,9
18,5273,BL_LEI_14,BL_1,1,120,2.06,185,27,21,1,2,2,3,0,0,0,0.49,0.49,0.49,0.97,0.97,27,113,1
19,4817,BL_HOF_9,BL_1,1,2,5.32,479,18,3,2,3,5,2,0,0,0,0.38,0.56,0.38,0.94,0.94,20,17,2
20,5261,PL_FUL_9,PL_1,1,37,32.81,2953,33,33,0,0,0,1,0,0,0,0,0,0,0,0,5,75,0
21,760,LL_CAD_6,LL_1,1,91,0.4,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
22,5475,L1_BOR_2,L1_1,1,41,26.87,2418,35,25,2,10,7,6,0,0,0,0.07,0.19,0.07,0.26,0.26,54,188,2
23,394,SA_PAM_14,SA_1,1,63,0.11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,92,PL_LIV_12,PL_1,1,38,3,270,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3538,LL_ALA_1,LL_1,1,38,17.31,1558,26,16,0,2,1,1,0,0,0,0,0.06,0,0.06,0.06,11,39,0
26,3263,SA_SPZ_18,SA_1,1,41,8.89,800,12,9,0,0,0,2,0,0,0,0,0,0,0,0,6,46,0
27,1666,BL_BRE_18,BL_1,1,89,7.79,701,15,8,1,0,1,0,0,0,0,0.13,0,0.13,0.13,0.13,7,9,1
28,2902,SA_SPZ_18,SA_1,1,24,15.07,1356,29,14,1,4,3,4,0,0,0,0.07,0.13,0.07,0.2,0.2,50,43,1
29,3987,L1_REN_18,L1_1,1,75,34.97,3147,35,35,3,1,4,6,0,0,0,0.09,0.03,0.09,0.11,0.11,14,136,3
30,4884,PL_MCI_13,PL_1,1,4,6.21,559,12,7,4,1,5,0,0,1,2,0.64,0.16,0.48,0.81,0.64,12,12,3
31,4684,L1_MON_11,L1_1,1,41,24.72,2225,33,27,1,6,4,6,0,0,0,0.04,0.12,0.04,0.16,0.16,74,101,1
32,3961,BL_STU_16,BL_1,1,41,2.8,252,6,3,0,0,0,2,1,0,0,0,0,0,0,0,8,11,0
33,3651,L1_NÎM_15,L1_1,1,13,9.99,899,20,10,2,0,2,0,0,0,0,0.2,0,0.2,0.2,0.2,31,25,2
34,2414,L1_STR_20,L1_1,1,20,23.84,2146,27,26,2,2,4,9,0,0,0,0.08,0.08,0.08,0.17,0.17,26,92,2
35,2414,L1_MON_11,L1_1,1,20,0.4,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
36,2697,LL_CEL_7,LL_1,1,46,14.32,1289,25,14,0,0,0,3,0,0,0,0,0,0,0,0,11,43,0
37,4150,PL_FUL_9,PL_1,1,89,29.6,2664,31,31,2,1,3,3,0,0,0,0.07,0.03,0.07,0.1,0.1,63,106,2
38,4515,PL_WOL_20,PL_1,1,33,15.6,1404,21,16,1,2,2,1,0,0,0,0.06,0.06,0.06,0.13,0.13,47,54,1
39,4515,L1_ANG_1,L1_1,1,33,2.08,187,3,2,0,2,1,0,0,0,0,0,0.48,0,0.48,0.48,7,11,0
40,4861,PL_WES_27,PL_1,1,89,3.09,278,33,31,2,0,2,3,1,0,0,0.65,0,0.65,0.65,0.65,13,73,2
41,3265,L1_STR_20,L1_1,1,41,32.97,2967,35,34,16,8,20,5,0,4,5,0.49,0.12,0.36,0.61,0.49,33,61,12
42,3391,BL_BVB_4,BL_1,1,19,2.61,235,28,26,2,0,2,4,0,0,0,0.77,0,0.77,0.77,0.77,26,159,2
43,868,LL_CAD_6,LL_1,1,50,9.61,865,13,10,1,0,1,3,1,0,0,0.1,0,0.1,0.1,0.1,12,15,1
44,3525,L1_MAR_9,L1_1,1,41,1.62,146,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0
45,3966,PL_MCI_13,PL_1,1,91,8.86,797,10,9,1,0,1,4,0,0,0,0.11,0,0.11,0.11,0.11,12,52,1
46,4317,LL_BET_5,LL_1,1,20,4.2,378,10,4,0,0,0,5,1,0,0,0,0,0,0,0,4,13,0
47,2413,SA_LAZ_11,SA_1,1,20,11.73,1056,32,6,0,2,1,9,0,0,0,0,0.09,0,0.09,0.09,11,26,0
48,2903,BL_HOF_9,BL_1,1,89,13.16,1184,16,14,1,0,1,1,0,0,0,0.08,0,0.08,0.08,0.08,10,56,1
49,1206,BL_BAY_3,BL_1,1,5,29.72,2675,32,30,2,8,6,4,0,0,0,0.07,0.13,0.07,0.2,0.2,56,242,2
50,4978,L1_NÎM_15,L1_1,1,75,16.72,1505,22,17,0,4,2,4,0,0,0,0,0.12,0,0.12,0.12,35,65,0
51,2626,LL_ELC_9,LL_1,1,38,0.81,73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
52,3230,BL_LEV_12,BL_1,1,4,13.83,1245,25,12,11,4,13,2,0,2,2,0.8,0.14,0.65,0.94,0.8,7,21,9
53,2651,LL_BAR_4,LL_1,1,38,33.61,3025,35,34,3,10,8,9,0,0,0,0.09,0.15,0.09,0.24,0.24,48,197,3
54,3273,SA_LAZ_11,SA_1,1,38,29.09,2618,34,33,9,2,11,5,0,0,0,0.31,0.07,0.31,0.38,0.38,143,301,9
55,4503,LL_VLR_20,LL_1,1,38,34.61,3115,35,35,0,0,0,7,0,0,0,0,0,0,0,0,19,136,0
