team_id,league_id,season_id,team_name,Comp,# Pl,90s,team_Min,W,D,L,team_Starts,team_GA,team_GA90_new,team_Saves,team_SoTA,team_Save%_new,team_CS,team_CS%_new,team_penalty_Katt,team_penalty_PKA,team_penalty_PKm,team_penalty_PKsv,team_penalty_Save%_new
BL_ARM_1,BL_1,1,Arminia,Bundesliga,1,34,3060,9,8,17,34,52,1.53,118,170,0.694117647058824,11,0.323529411764706,6,5,0,1,0.166666666666667
BL_ARM_1,BL_1,2,Arminia,Bundesliga,2,34,3060,5,13,16,34,53,1.56,129,180,0.705555555555556,7,0.205882352941176,7,7,0,0,0
BL_AUG_2,BL_1,1,Augsburg,Bundesliga,1,34,3060,10,6,18,34,54,1.59,126,178,0.696629213483146,7,0.205882352941176,9,6,2,1,0.111111111111111
BL_AUG_2,BL_1,2,Augsburg,Bundesliga,1,34,3060,10,8,16,34,56,1.65,102,156,0.641025641025641,9,0.264705882352941,5,5,0,0,0
BL_AUG_2,BL_1,3,Augsburg,Bundesliga,2,34,3060,9,7,18,34,63,1.85,138,201,0.686567164179104,6,0.176470588235294,4,1,1,2,0.5
BL_AUG_2,BL_1,4,Augsburg,Bundesliga,2,34,3060,10,9,15,34,60,1.76,123,183,0.672131147540984,3,0.0882352941176471,10,7,1,2,0.2
BL_AUG_2,BL_1,5,Augsburg,Bundesliga,2,34,3060,11,10,13,34,51,1.5,107,156,0.673076923076923,11,0.323529411764706,5,5,0,0,0
BL_BAY_3,BL_1,1,Bayern Munich,Bundesliga,2,34,3060,24,6,4,34,44,1.29,82,127,0.653543307086614,9,0.264705882352941,3,1,1,1,0.333333333333333
BL_BAY_3,BL_1,2,Bayern Munich,Bundesliga,3,34,3060,24,5,5,34,37,1.09,76,112,0.669642857142857,11,0.323529411764706,2,2,0,0,0
BL_BAY_3,BL_1,3,Bayern Munich,Bundesliga,3,34,3060,21,8,5,34,38,1.12,68,107,0.644859813084112,11,0.323529411764706,10,9,0,1,0.1
BL_BAY_3,BL_1,4,Bayern Munich,Bundesliga,3,34,3060,23,3,8,34,45,1.32,78,124,0.637096774193548,11,0.323529411764706,4,3,0,1,0.25
BL_BAY_3,BL_1,5,Bayern Munich,Bundesliga,4,34,3060,25,7,2,34,32,0.94,48,80,0.6,16,0.470588235294118,2,1,1,0,0
BL_BOC_20,BL_1,2,Bochum,Bundesliga,2,34,3060,12,6,16,34,52,1.53,126,176,0.704545454545454,7,0.205882352941176,8,5,1,2,0.25
BL_BOC_20,BL_1,3,Bochum,Bundesliga,1,34,3060,10,5,19,34,72,2.12,128,200,0.64,5,0.147058823529412,14,8,3,3,0.214285714285714
BL_BOC_20,BL_1,4,Bochum,Bundesliga,2,34,3060,7,12,15,34,74,2.18,117,189,0.608465608465608,4,0.117647058823529,11,9,0,2,0.181818181818182
BL_BOC_20,BL_1,5,Bochum,Bundesliga,2,34,3060,5,8,21,34,68,2,83,153,0.555555555555556,5,0.147058823529412,6,3,1,2,0.333333333333333
BL_BRE_18,BL_1,1,Werder Bremen,Bundesliga,1,34,3060,7,10,17,34,57,1.68,101,157,0.636942675159236,6,0.176470588235294,6,4,0,2,0.333333333333333
BL_BRE_18,BL_1,3,Werder Bremen,Bundesliga,2,34,3060,10,6,18,34,64,1.88,121,184,0.652173913043478,4,0.117647058823529,3,2,0,1,0.333333333333333
BL_BRE_18,BL_1,4,Werder Bremen,Bundesliga,2,34,3060,11,9,14,34,54,1.59,113,166,0.674698795180723,7,0.205882352941176,6,6,0,0,0
BL_BRE_18,BL_1,5,Werder Bremen,Bundesliga,1,34,3060,14,9,11,34,57,1.68,102,156,0.634615384615385,10,0.294117647058824,3,3,0,0,0
BL_BVB_4,BL_1,1,Dortmund,Bundesliga,2,34,3060,20,4,10,34,46,1.35,91,136,0.661764705882353,11,0.323529411764706,6,6,0,0,0
BL_BVB_4,BL_1,2,Dortmund,Bundesliga,3,34,3060,22,3,9,34,52,1.53,86,136,0.61764705882353,7,0.205882352941176,6,6,0,0,0
BL_BVB_4,BL_1,3,Dortmund,Bundesliga,2,34,3060,22,5,7,34,44,1.29,108,151,0.708609271523179,12,0.352941176470588,1,1,0,0,0
BL_BVB_4,BL_1,4,Dortmund,Bundesliga,2,34,3060,18,9,7,34,43,1.26,103,145,0.703448275862069,10,0.294117647058824,6,5,0,1,0.166666666666667
BL_BVB_4,BL_1,5,Dortmund,Bundesliga,2,34,3060,17,6,11,34,51,1.5,89,140,0.635714285714286,7,0.205882352941176,4,4,0,0,0
BL_DAR_22,BL_1,4,Darmstadt 98,Bundesliga,2,34,3060,3,8,23,34,86,2.53,130,215,0.6,3,0.0882352941176471,2,1,0,1,0.5
BL_FRA_5,BL_1,1,Eint Frankfurt,Bundesliga,2,34,3060,16,12,6,34,53,1.56,104,156,0.66025641025641,4,0.117647058823529,6,4,1,1,0.166666666666667
BL_FRA_5,BL_1,2,Eint Frankfurt,Bundesliga,3,34,3060,10,12,12,34,49,1.44,117,165,0.703030303030303,5,0.147058823529412,4,4,0,0,0
BL_FRA_5,BL_1,3,Eint Frankfurt,Bundesliga,2,34,3060,13,11,10,34,52,1.53,84,135,0.614814814814815,6,0.176470588235294,2,2,0,0,0
