team_id,league_id,season_id,team_name,Comp,# team_Pl,team_Misc_perform_90s,team_Misc_perform_CrdY,team_Misc_perform_CrdR,team_Misc_perfrom_2CrdY,team_Misc_perform_Fls,team_Misc_perform_Fld,team_Misc_perform_Crs,team_Misc_perform_Int,team_Misc_perform_Off,team_Misc_perform_Recov,team_Misc_perform_TklW,team_Misc_perfrom_OG,team_Misc_perfrom_PKcon,team_Misc_perofrm_PKwon,team_Misc_aeriald_Won,team_Misc_aeriald_Lost,team_Misc_aeriald_Won%_new
BL_ARM_1,BL_1,1,Arminia,Bundesliga,26,34,52,1,0,390,417,471,418,49,1725,328,1,6,2,740,711,0.509993108201241
BL_ARM_1,BL_1,2,Arminia,Bundesliga,26,34,55,2,1,433,307,487,421,54,1907,311,2,7,2,658,734,0.472701149425287
BL_AUG_2,BL_1,1,Augsburg,Bundesliga,25,34,71,4,3,395,403,500,454,67,1802,308,3,9,3,559,688,0.448275862068966
BL_AUG_2,BL_1,2,Augsburg,Bundesliga,26,34,74,0,0,448,357,592,363,73,1927,335,2,5,4,557,604,0.479758828596038
BL_AUG_2,BL_1,3,Augsburg,Bundesliga,34,34,96,5,2,433,356,548,286,58,1792,299,2,4,3,640,777,0.45165843330981
BL_AUG_2,BL_1,4,Augsburg,Bundesliga,29,34,71,3,1,454,338,631,295,81,1669,319,2,10,5,587,602,0.493692178301093
BL_AUG_2,BL_1,5,Augsburg,Bundesliga,29,34,78,5,2,351,373,578,341,59,1441,300,2,5,2,529,491,0.518627450980392
BL_BAY_3,BL_1,1,Bayern Munich,Bundesliga,29,34,44,3,0,317,374,828,399,74,2050,316,0,3,7,430,409,0.512514898688915
BL_BAY_3,BL_1,2,Bayern Munich,Bundesliga,30,34,36,2,0,305,354,656,349,76,2220,338,1,2,1,422,394,0.517156862745098
BL_BAY_3,BL_1,3,Bayern Munich,Bundesliga,28,34,49,3,2,306,335,603,287,84,2085,387,0,10,5,471,381,0.552816901408451
BL_BAY_3,BL_1,4,Bayern Munich,Bundesliga,30,34,47,2,1,304,306,655,288,60,1768,323,0,4,2,410,319,0.56241426611797
BL_BAY_3,BL_1,5,Bayern Munich,Bundesliga,29,34,48,1,0,295,341,612,232,56,1665,300,0,2,6,418,344,0.548556430446194
BL_BOC_20,BL_1,2,Bochum,Bundesliga,28,34,55,2,0,424,391,600,429,75,2088,353,4,8,4,609,599,0.504139072847682
BL_BOC_20,BL_1,3,Bochum,Bundesliga,26,34,64,1,0,429,354,568,337,66,1991,386,3,14,3,770,737,0.510948905109489
BL_BOC_20,BL_1,4,Bochum,Bundesliga,25,34,97,2,0,446,409,649,308,83,1808,366,4,11,4,815,816,0.499693439607603
BL_BOC_20,BL_1,5,Bochum,Bundesliga,27,34,71,2,1,465,293,679,294,63,1447,360,0,6,3,744,665,0.528034066713982
BL_BRE_18,BL_1,1,Werder Bremen,Bundesliga,27,34,67,3,2,396,467,548,407,68,1738,333,3,6,3,609,582,0.511335012594458
BL_BRE_18,BL_1,3,Werder Bremen,Bundesliga,25,34,76,1,0,426,369,514,321,65,1987,349,2,3,3,631,622,0.503591380686353
BL_BRE_18,BL_1,4,Werder Bremen,Bundesliga,30,34,73,2,0,396,396,543,284,70,1758,351,1,6,5,508,575,0.469067405355494
BL_BRE_18,BL_1,5,Werder Bremen,Bundesliga,23,34,75,4,3,335,402,667,315,72,1453,321,3,3,4,473,470,0.501590668080594
BL_BVB_4,BL_1,1,Dortmund,Bundesliga,26,34,44,1,1,359,373,532,413,69,2023,318,1,6,6,432,350,0.552429667519182
BL_BVB_4,BL_1,2,Dortmund,Bundesliga,33,34,63,1,1,362,398,491,347,73,2052,322,2,6,6,419,363,0.535805626598465
BL_BVB_4,BL_1,3,Dortmund,Bundesliga,30,34,66,0,0,322,407,677,298,41,1958,334,1,1,6,425,364,0.538656527249683
BL_BVB_4,BL_1,4,Dortmund,Bundesliga,32,34,59,4,2,315,391,522,251,44,1763,356,2,6,5,389,426,0.477300613496933
BL_BVB_4,BL_1,5,Dortmund,Bundesliga,28,34,71,6,3,330,343,698,249,43,1480,319,1,4,5,474,418,0.531390134529148
BL_DAR_22,BL_1,4,Darmstadt 98,Bundesliga,32,34,83,4,0,429,351,514,317,57,1502,323,2,2,2,510,569,0.472659870250232
BL_FRA_5,BL_1,1,Eint Frankfurt,Bundesliga,25,34,82,1,1,459,366,776,428,69,2094,352,2,6,6,604,552,0.522491349480969
BL_FRA_5,BL_1,2,Eint Frankfurt,Bundesliga,27,34,61,1,1,422,299,697,377,53,2251,330,1,4,1,552,644,0.461538461538462
BL_FRA_5,BL_1,3,Eint Frankfurt,Bundesliga,28,34,71,1,1,429,377,616,284,70,2088,357,1,2,6,467,555,0.456947162426614
BL_FRA_5,BL_1,4,Eint Frankfurt,Bundesliga,34,34,70,5,4,355,318,557,302,51,1792,359,0,11,2,477,525,0.476047904191617
BL_FRA_5,BL_1,5,Eint Frankfurt,Bundesliga,26,34,55,1,1,341,304,539,287,57,1486,341,2,3,2,467,437,0.516592920353982
BL_FRE_6,BL_1,1,Freiburg,Bundesliga,24,34,62,0,0,437,401,636,452,56,1718,247,2,6,5,588,637,0.48
BL_FRE_6,BL_1,2,Freiburg,Bundesliga,26,34,34,0,0,392,375,633,355,58,1920,299,1,2,4,675,638,0.514089870525514
BL_FRE_6,BL_1,3,Freiburg,Bundesliga,27,34,62,2,1,404,424,547,325,57,1754,289,0,6,7,743,686,0.519944016794962
BL_FRE_6,BL_1,4,Freiburg,Bundesliga,25,34,64,4,1,364,376,593,272,52,1633,319,1,5,7,625,628,0.498802873104549
BL_FRE_6,BL_1,5,Freiburg,Bundesliga,26,34,54,2,1,316,325,589,276,61,1368,317,1,4,3,596,608,0.495016611295681
BL_FÜR_21,BL_1,2,Greuther Fürth,Bundesliga,29,34,61,0,0,437,434,478,374,69,1878,336,5,6,3,468,602,0.437383177570094
BL_GLA_7,BL_1,1,Gladbach,Bundesliga,23,34,61,2,0,395,412,561,436,82,1914,307,0,6,9,512,488,0.512
BL_GLA_7,BL_1,2,Gladbach,Bundesliga,26,34,67,1,0,359,472,440,326,73,1850,345,0,5,6,464,419,0.525481313703284
BL_GLA_7,BL_1,3,Gladbach,Bundesliga,27,34,62,3,1,338,447,441,267,72,1718,275,1,6,3,415,419,0.497601918465228
BL_GLA_7,BL_1,4,Gladbach,Bundesliga,27,34,66,2,1,337,372,574,333,53,1701,337,0,6,4,485,478,0.503634475597092
BL_GLA_7,BL_1,5,Gladbach,Bundesliga,26,34,53,3,2,339,326,617,317,65,1308,284,2,8,5,530,473,0.528414755732802
BL_HEI_23,BL_1,4,Heidenheim,Bundesliga,22,34,54,1,0,442,325,663,302,38,1741,352,3,10,1,690,612,0.529953917050691
BL_HEI_23,BL_1,5,Heidenheim,Bundesliga,27,34,66,1,0,385,390,581,312,50,1420,356,0,6,3,553,646,0.461217681401168
BL_HER_8,BL_1,1,Hertha BSC,Bundesliga,32,34,67,3,2,469,428,585,417,77,1743,270,1,8,6,527,513,0.506730769230769
BL_HER_8,BL_1,2,Hertha BSC,Bundesliga,36,34,62,2,0,421,430,505,406,73,1830,321,0,8,3,556,575,0.491600353669319
BL_HER_8,BL_1,3,Hertha BSC,Bundesliga,32,34,82,1,1,422,394,516,366,58,1835,344,0,6,4,633,701,0.474512743628186
BL_HOF_9,BL_1,1,Hoffenheim,Bundesliga,30,34,68,4,2,442,407,658,431,49,1896,296,2,9,4,516,620,0.454225352112676
BL_HOF_9,BL_1,2,Hoffenheim,Bundesliga,32,34,75,0,0,429,348,703,285,70,1905,291,1,4,0,485,574,0.457979225684608
BL_HOF_9,BL_1,3,Hoffenheim,Bundesliga,31,34,80,5,3,471,368,577,285,78,1843,323,1,3,7,550,557,0.49683830171635
BL_HOF_9,BL_1,4,Hoffenheim,Bundesliga,30,34,86,5,4,339,366,603,357,52,1715,304,1,5,5,515,515,0.5
BL_HOF_9,BL_1,5,Hoffenheim,Bundesliga,35,34,66,2,0,391,366,732,291,70,1466,336,3,6,2,577,588,0.495278969957082
BL_KIE_24,BL_1,5,Holstein Kiel,Bundesliga,27,34,77,4,2,407,350,482,294,44,1267,328,3,7,4,546,607,0.473547267996531
BL_KÖL_11,BL_1,1,Köln,Bundesliga,28,34,63,1,1,422,429,655,429,57,1948,328,0,9,4,607,614,0.497133497133497
BL_KÖL_11,BL_1,2,Köln,Bundesliga,26,34,68,1,1,419,459,829,426,67,2137,361,2,1,1,597,590,0.502948609941028
BL_KÖL_11,BL_1,3,Köln,Bundesliga,27,34,75,3,3,400,352,790,372,68,2022,370,3,5,2,659,608,0.520126282557222
BL_KÖL_11,BL_1,4,Köln,Bundesliga,26,34,71,4,3,418,364,779,305,53,1689,375,0,3,5,557,533,0.511009174311927
BL_LEI_14,BL_1,1,RB Leipzig,Bundesliga,25,34,57,0,0,435,404,649,353,81,2060,305,0,3,9,622,466,0.571691176470588
BL_LEI_14,BL_1,2,RB Leipzig,Bundesliga,29,34,49,0,0,360,426,523,349,66,1994,289,1,3,5,504,420,0.545454545454545
BL_LEI_14,BL_1,3,RB Leipzig,Bundesliga,25,34,69,2,1,393,402,489,310,80,1966,312,2,8,5,440,433,0.504009163802978
BL_LEI_14,BL_1,4,RB Leipzig,Bundesliga,26,34,61,1,1,354,388,608,240,67,1743,317,1,5,7,426,394,0.519512195121951
BL_LEI_14,BL_1,5,RB Leipzig,Bundesliga,29,34,68,5,2,376,333,563,268,83,1533,333,0,3,4,480,439,0.522306855277476
BL_LEV_12,BL_1,1,Leverkusen,Bundesliga,30,34,58,0,0,433,335,674,322,72,2006,282,2,2,1,444,487,0.476906552094522
BL_LEV_12,BL_1,2,Leverkusen,Bundesliga,29,34,66,2,1,364,329,537,360,64,2009,281,1,4,5,442,415,0.515752625437573
BL_LEV_12,BL_1,3,Leverkusen,Bundesliga,27,34,75,7,3,382,409,461,294,51,1918,280,2,7,6,430,492,0.466377440347072
BL_LEV_12,BL_1,4,Leverkusen,Bundesliga,24,34,59,0,0,305,342,586,224,73,1847,277,0,0,7,363,316,0.53460972017673
BL_LEV_12,BL_1,5,Leverkusen,Bundesliga,23,34,62,1,1,325,352,735,234,64,1463,259,4,4,5,463,419,0.524943310657596
BL_MAI_13,BL_1,1,Mainz 05,Bundesliga,31,34,63,1,1,500,379,605,500,57,1923,364,1,7,4,613,650,0.48535233570863
BL_MAI_13,BL_1,2,Mainz 05,Bundesliga,28,34,62,4,2,495,386,598,439,63,2097,305,1,6,3,606,580,0.510961214165261
BL_MAI_13,BL_1,3,Mainz 05,Bundesliga,27,34,69,1,0,476,334,610,433,74,2081,341,0,8,5,740,703,0.512820512820513
BL_MAI_13,BL_1,4,Mainz 05,Bundesliga,30,34,99,3,1,473,410,633,346,59,1786,328,1,4,4,665,761,0.466339410939691
BL_MAI_13,BL_1,5,Mainz 05,Bundesliga,25,34,71,5,3,408,329,658,352,78,1545,325,0,5,3,618,697,0.469961977186312
BL_SCH_15,BL_1,1,Schalke 04,Bundesliga,42,34,74,2,2,415,403,425,411,68,1748,337,5,8,3,519,564,0.479224376731302
BL_SCH_15,BL_1,3,Schalke 04,Bundesliga,35,34,68,1,0,427,391,764,306,70,1896,329,1,6,3,692,739,0.483577917540182
BL_STP_25,BL_1,5,St. Pauli,Bundesliga,28,34,53,4,3,353,352,600,257,66,1350,315,1,5,2,533,656,0.448275862068966
BL_STU_16,BL_1,1,Stuttgart,Bundesliga,29,34,65,2,1,420,434,539,426,55,2053,294,1,7,6,544,452,0.546184738955823
BL_STU_16,BL_1,2,Stuttgart,Bundesliga,34,34,64,2,1,371,419,550,342,53,2021,307,1,4,1,586,451,0.565091610414658
BL_STU_16,BL_1,3,Stuttgart,Bundesliga,30,34,72,5,4,346,407,597,308,56,1989,316,1,6,4,547,470,0.537856440511308
BL_STU_16,BL_1,4,Stuttgart,Bundesliga,27,34,56,1,1,329,373,537,269,50,1754,316,3,3,7,430,429,0.50058207217695
BL_STU_16,BL_1,5,Stuttgart,Bundesliga,29,34,72,5,3,358,411,637,298,62,1378,282,1,3,4,468,448,0.510917030567686
BL_UNI_17,BL_1,1,Union Berlin,Bundesliga,27,34,57,2,1,434,375,640,405,84,1977,283,2,5,6,585,669,0.466507177033493
BL_UNI_17,BL_1,2,Union Berlin,Bundesliga,28,34,62,1,1,423,333,663,376,64,1975,296,4,2,2,584,681,0.461660079051383
BL_UNI_17,BL_1,3,Union Berlin,Bundesliga,28,34,65,2,1,445,345,708,262,62,1833,278,0,7,4,767,755,0.503942181340342
BL_UNI_17,BL_1,4,Union Berlin,Bundesliga,30,34,67,7,3,402,339,662,305,61,1705,352,1,7,3,620,619,0.500403551251009
BL_UNI_17,BL_1,5,Union Berlin,Bundesliga,28,34,72,1,0,419,313,608,312,67,1368,318,1,6,3,656,676,0.492492492492492
BL_WOL_19,BL_1,1,Wolfsburg,Bundesliga,26,34,58,3,1,442,379,643,477,77,2088,363,1,5,1,567,566,0.500441306266549
BL_WOL_19,BL_1,2,Wolfsburg,Bundesliga,30,34,61,3,1,411,415,619,388,74,1984,298,1,7,3,621,522,0.543307086614173
BL_WOL_19,BL_1,3,Wolfsburg,Bundesliga,28,34,63,0,0,390,451,568,292,50,1800,324,3,7,6,525,546,0.490196078431372
BL_WOL_19,BL_1,4,Wolfsburg,Bundesliga,28,34,86,5,2,415,412,593,268,41,1580,303,3,3,3,512,467,0.522982635342186
BL_WOL_19,BL_1,5,Wolfsburg,Bundesliga,27,34,75,3,0,350,366,574,312,49,1344,301,1,3,4,519,562,0.480111008325624
L1_AJA_23,L1_1,3,Ajaccio,Ligue 1,36,38,86,10,2,541,495,631,420,63,2053,382,2,10,8,602,711,0.458492003046458
L1_ANG_1,L1_1,1,Angers,Ligue 1,31,38,65,2,1,461,483,662,443,39,2074,376,1,8,6,477,562,0.459095283926853
L1_ANG_1,L1_1,2,Angers,Ligue 1,30,38,70,4,3,471,461,572,423,46,2051,370,3,5,7,408,509,0.444929116684842
L1_ANG_1,L1_1,3,Angers,Ligue 1,33,38,69,5,3,492,422,584,375,47,2025,386,4,11,4,436,441,0.49714937286203
L1_ANG_1,L1_1,5,Angers,Ligue 1,30,34,49,2,0,380,398,575,336,69,1414,392,0,5,6,334,428,0.438320209973753
L1_AUX_24,L1_1,3,Auxerre,Ligue 1,33,38,54,6,4,462,419,617,454,48,2078,378,1,6,6,487,566,0.462488129154796
L1_AUX_24,L1_1,5,Auxerre,Ligue 1,29,34,68,4,1,404,362,542,350,48,1492,403,3,8,4,412,422,0.49400479616307
L1_BOR_2,L1_1,1,Bordeaux,Ligue 1,28,38,78,4,2,465,480,609,503,49,1964,329,1,8,3,570,501,0.532212885154062
L1_BOR_2,L1_1,2,Bordeaux,Ligue 1,39,38,91,5,2,460,391,611,454,58,2134,377,3,9,2,488,506,0.490945674044266
L1_BRE_3,L1_1,1,Brest,Ligue 1,26,38,62,4,1,491,434,720,463,59,1928,355,2,11,4,693,560,0.553072625698324
L1_BRE_3,L1_1,2,Brest,Ligue 1,25,38,59,2,0,427,417,710,469,47,2006,400,2,4,4,618,540,0.533678756476684
L1_BRE_3,L1_1,3,Brest,Ligue 1,29,38,63,2,0,499,462,755,475,59,2115,417,2,9,7,633,569,0.526622296173045
L1_BRE_3,L1_1,4,Brest,Ligue 1,25,34,84,5,2,414,422,792,321,34,1910,427,0,3,2,598,509,0.540198735320686
L1_BRE_3,L1_1,5,Brest,Ligue 1,30,34,69,3,1,430,413,641,316,42,1471,426,2,10,5,534,508,0.512476007677543
L1_CLE_21,L1_1,2,Clermont Foot,Ligue 1,28,38,65,8,3,387,482,713,386,53,2137,361,3,5,2,432,466,0.481069042316258
L1_CLE_21,L1_1,3,Clermont Foot,Ligue 1,28,38,72,5,2,426,592,564,440,52,2051,398,0,12,7,410,427,0.48984468339307
L1_CLE_21,L1_1,4,Clermont Foot,Ligue 1,31,34,60,7,1,396,429,551,347,51,1695,358,1,9,7,393,414,0.486988847583643
L1_DIJ_4,L1_1,1,Dijon,Ligue 1,33,38,76,5,1,515,421,569,471,54,2041,367,2,10,4,530,627,0.458081244598098
L1_LEH_26,L1_1,4,Le Havre,Ligue 1,27,34,67,6,3,433,368,544,363,52,1638,332,2,4,7,485,482,0.501551189245088
L1_LEH_26,L1_1,5,Le Havre,Ligue 1,31,34,56,4,1,379,403,695,324,50,1399,387,1,6,6,451,436,0.508455467869222
L1_LEN_5,L1_1,1,Lens,Ligue 1,27,38,94,7,5,541,465,760,508,49,2004,358,3,11,11,644,630,0.505494505494506
L1_LEN_5,L1_1,2,Lens,Ligue 1,28,38,73,7,1,421,357,699,455,58,2051,359,0,5,3,427,366,0.538461538461538
L1_LEN_5,L1_1,3,Lens,Ligue 1,29,38,63,3,0,492,481,791,339,62,1975,323,1,3,7,406,369,0.523870967741936
L1_LEN_5,L1_1,4,Lens,Ligue 1,27,34,78,4,1,445,424,736,298,75,1775,339,1,8,5,451,388,0.537544696066746
L1_LEN_5,L1_1,5,Lens,Ligue 1,33,34,86,8,3,499,360,706,321,84,1576,365,0,9,2,450,414,0.520833333333333
L1_LIL_6,L1_1,1,Lille,Ligue 1,21,38,68,2,1,487,450,637,424,64,2216,370,2,2,5,572,558,0.506194690265487
L1_LIL_6,L1_1,2,Lille,Ligue 1,26,38,98,6,3,446,441,621,377,89,2145,359,2,6,5,525,492,0.51622418879056
L1_LIL_6,L1_1,3,Lille,Ligue 1,26,38,82,1,0,497,480,624,301,64,2138,370,3,5,10,440,463,0.487264673311185
L1_LIL_6,L1_1,4,Lille,Ligue 1,28,34,67,3,1,376,489,533,292,46,1642,370,2,5,3,355,346,0.50641940085592
L1_LIL_6,L1_1,5,Lille,Ligue 1,27,34,77,2,1,410,376,535,271,48,1535,356,1,4,8,392,350,0.528301886792453
